named.index	unique.index	external_gene_name	ensembl_gene_id	ensembl_gene_id_version	chromosome_name	start_position	end_position	ensembl_transcript_id	external_gene_source	gene_biotype	external_synonym	hgnc_symbol	strand
ALS2CR2P1	ALS2CR2P1	STRADBP1	ENSG00000213205	ENSG00000213205.3	chr7	150512559	150513839	ENST00000478954	HGNC_Symbol	transcribed_processed_pseudogene	ALS2CR2P1	STRADBP1	-1
AMD	ENSG00000237801.AMD	AMD1P2	ENSG00000237801	ENSG00000237801.6	chrX	155828585	155829576	ENST00000412936	HGNC_Symbol	processed_pseudogene	AMD	AMD1P2	-1
AMD	ENSG00000292364.AMD	AMD1P2	ENSG00000292364	ENSG00000292364.1	chrY	57015105	57016096	ENST00000711258	HGNC_Symbol	processed_pseudogene	AMD	AMD1P2	-1
AMD2	ENSG00000237801.AMD2	AMD1P2	ENSG00000237801	ENSG00000237801.6	chrX	155828585	155829576	ENST00000412936	HGNC_Symbol	processed_pseudogene	AMD2	AMD1P2	-1
AMD2	ENSG00000292364.AMD2	AMD1P2	ENSG00000292364	ENSG00000292364.1	chrY	57015105	57016096	ENST00000711258	HGNC_Symbol	processed_pseudogene	AMD2	AMD1P2	-1
AMDP1	ENSG00000237801.AMDP1	AMD1P2	ENSG00000237801	ENSG00000237801.6	chrX	155828585	155829576	ENST00000412936	HGNC_Symbol	processed_pseudogene	AMDP1	AMD1P2	-1
AMDP1	ENSG00000292364.AMDP1	AMD1P2	ENSG00000292364	ENSG00000292364.1	chrY	57015105	57016096	ENST00000711258	HGNC_Symbol	processed_pseudogene	AMDP1	AMD1P2	-1
AMDPX	ENSG00000237801.AMDPX	AMD1P2	ENSG00000237801	ENSG00000237801.6	chrX	155828585	155829576	ENST00000412936	HGNC_Symbol	processed_pseudogene	AMDPX	AMD1P2	-1
AMDPX	ENSG00000292364.AMDPX	AMD1P2	ENSG00000292364	ENSG00000292364.1	chrY	57015105	57016096	ENST00000711258	HGNC_Symbol	processed_pseudogene	AMDPX	AMD1P2	-1
AMDPY	ENSG00000237801.AMDPY	AMD1P2	ENSG00000237801	ENSG00000237801.6	chrX	155828585	155829576	ENST00000412936	HGNC_Symbol	processed_pseudogene	AMDPY	AMD1P2	-1
AMDPY	ENSG00000292364.AMDPY	AMD1P2	ENSG00000292364	ENSG00000292364.1	chrY	57015105	57016096	ENST00000711258	HGNC_Symbol	processed_pseudogene	AMDPY	AMD1P2	-1
ANKRD19	ANKRD19	ANKRD19P	ENSG00000187984	ENSG00000187984.14	chr9	92809665	92826578	ENST00000338192	HGNC_Symbol	transcribed_unprocessed_pseudogene	ANKRD19	ANKRD19P	1
ANKRD20A4	ANKRD20A4	ANKRD20A4P	ENSG00000172014	ENSG00000172014.14	chr9	64369675	64438574	ENST00000697282	HGNC_Symbol	transcribed_unprocessed_pseudogene	ANKRD20A4	ANKRD20A4P	1
ANKRD20A5	ANKRD20A5	ANKRD20A5P	ENSG00000186481	ENSG00000186481.17	chr18	14179395	14244811	ENST00000431648	HGNC_Symbol	transcribed_unprocessed_pseudogene	ANKRD20A5	ANKRD20A5P	1
ANKRD26L1	ANKRD26L1	ANKRD36BP1	ENSG00000214262	ENSG00000214262.5	chr1	168245788	168247204	ENST00000604892	HGNC_Symbol	transcribed_processed_pseudogene	ANKRD26L1	ANKRD36BP1	-1
ANKRD30BP	ANKRD30BP	ANKRD30BP1	ENSG00000175302	ENSG00000175302.5	chr21	13384249	13427773	ENST00000451052	HGNC_Symbol	unprocessed_pseudogene	ANKRD30BP	ANKRD30BP1	-1
ANKRD36BL1	ANKRD36BL1	ANKRD36BP1	ENSG00000214262	ENSG00000214262.5	chr1	168245788	168247204	ENST00000604892	HGNC_Symbol	transcribed_processed_pseudogene	ANKRD36BL1	ANKRD36BP1	-1
ANO7P1	ANO7P1	ANO7L1	ENSG00000237276	ENSG00000237276.10	chr1	16216469	16228027	ENST00000602586	HGNC_Symbol	transcribed_unprocessed_pseudogene	ANO7P1	ANO7L1	-1
ANP32C	ANP32C	ANP32CP	ENSG00000248546	ENSG00000248546.3	chr4	164197007	164197711	ENST00000512835	HGNC_Symbol	processed_pseudogene	ANP32C	ANP32CP	-1
ANTP3	ANTP3	SLC25A5P1	ENSG00000215347	ENSG00000215347.5	chr22	42001069	42001966	ENST00000450250	HGNC_Symbol	transcribed_processed_pseudogene	ANTP3	SLC25A5P1	-1
ANTP5	ANTP5	SLC25A5P5	ENSG00000226421	ENSG00000226421.1	chr7	32471513	32472409	ENST00000435239	HGNC_Symbol	processed_pseudogene	ANTP5	SLC25A5P5	1
ANX2L1	ANX2L1	ANXA2P1	ENSG00000213406	ENSG00000213406.3	chr4	153307792	153308717	ENST00000505539	HGNC_Symbol	processed_pseudogene	ANX2L1	ANXA2P1	-1
ANX2L2	ANX2L2	ANXA2P2	ENSG00000231991	ENSG00000231991.4	chr9	33624274	33625293	ENST00000435128	HGNC_Symbol	processed_pseudogene	ANX2L2	ANXA2P2	1
ANX2L3	ANX2L3	ANXA2P3	ENSG00000216740	ENSG00000216740.2	chr10	64825572	64826579	ENST00000404883	HGNC_Symbol	processed_pseudogene	ANX2L3	ANXA2P3	1
ANX2P1	ANX2P1	ANXA2P1	ENSG00000213406	ENSG00000213406.3	chr4	153307792	153308717	ENST00000505539	HGNC_Symbol	processed_pseudogene	ANX2P1	ANXA2P1	-1
ANX2P2	ANX2P2	ANXA2P2	ENSG00000231991	ENSG00000231991.4	chr9	33624274	33625293	ENST00000435128	HGNC_Symbol	processed_pseudogene	ANX2P2	ANXA2P2	1
ANX2P3	ANX2P3	ANXA2P3	ENSG00000216740	ENSG00000216740.2	chr10	64825572	64826579	ENST00000404883	HGNC_Symbol	processed_pseudogene	ANX2P3	ANXA2P3	1
AOH2	AOH2	AOX2P	ENSG00000243478	ENSG00000243478.10	chr2	200738608	200791630	ENST00000487742	HGNC_Symbol	transcribed_unprocessed_pseudogene	AOH2	AOX2P	1
AOX2	AOX2	AOX2P	ENSG00000243478	ENSG00000243478.10	chr2	200738608	200791630	ENST00000487742	HGNC_Symbol	transcribed_unprocessed_pseudogene	AOX2	AOX2P	1
APOAL	APOAL	LPAL2	ENSG00000213071	ENSG00000213071.12	chr6	160453428	160511007	ENST00000454031	HGNC_Symbol	transcribed_unprocessed_pseudogene	APOAL	LPAL2	-1
APOARGC	APOARGC	LPAL2	ENSG00000213071	ENSG00000213071.12	chr6	160453428	160511007	ENST00000454031	HGNC_Symbol	transcribed_unprocessed_pseudogene	APOARGC	LPAL2	-1
APOC1P	APOC1P	APOC1P1	ENSG00000214855	ENSG00000214855.12	chr19	44926976	44931058	ENST00000571466	HGNC_Symbol	transcribed_unprocessed_pseudogene	APOC1P	APOC1P1	1
APOC-IA	APOC-IA	APOC1P1	ENSG00000214855	ENSG00000214855.12	chr19	44926976	44931058	ENST00000571466	HGNC_Symbol	transcribed_unprocessed_pseudogene	APOC-IA	APOC1P1	1
APT	APT	LYPLA2P1	ENSG00000228285	ENSG00000228285.2	chr6	33365548	33366243	ENST00000447689	HGNC_Symbol	processed_pseudogene	APT	LYPLA2P1	-1
ARAF2	ARAF2	ARAFP2	ENSG00000224368	ENSG00000224368.1	chr7	63404842	63405400	ENST00000440565	HGNC_Symbol	processed_pseudogene	ARAF2	ARAFP2	-1
ARAF2P	ARAF2P	ARAFP2	ENSG00000224368	ENSG00000224368.1	chr7	63404842	63405400	ENST00000440565	HGNC_Symbol	processed_pseudogene	ARAF2P	ARAFP2	-1
ARAFPS	ARAFPS	ARAFP2	ENSG00000224368	ENSG00000224368.1	chr7	63404842	63405400	ENST00000440565	HGNC_Symbol	processed_pseudogene	ARAFPS	ARAFP2	-1
ARHQP	ARHQP	RHOQP1	ENSG00000258568	ENSG00000258568.1	chr14	49599994	49600572	ENST00000555758	HGNC_Symbol	processed_pseudogene	ARHQP	RHOQP1	1
ARL2BPL	ARL2BPL	ARL2BPP2	ENSG00000258071	ENSG00000258071.1	chr12	52763405	52763893	ENST00000550907	HGNC_Symbol	processed_pseudogene	ARL2BPL	ARL2BPP2	1
ARL4B	ARL4B	ARL4AP1	ENSG00000122872	ENSG00000122872.8	chr10	60684505	60685209	ENST00000503220	HGNC_Symbol	processed_pseudogene	ARL4B	ARL4AP1	1
ARL4P	ARL4P	ARL4AP1	ENSG00000122872	ENSG00000122872.8	chr10	60684505	60685209	ENST00000503220	HGNC_Symbol	processed_pseudogene	ARL4P	ARL4AP1	1
ARMCX6-PS	ARMCX6-PS	ARMCX7P	ENSG00000204072	ENSG00000204072.4	chrX	101597510	101598071	ENST00000372828	HGNC_Symbol	transcribed_unprocessed_pseudogene	ARMCX6-PS	ARMCX7P	1
ARPC3B	ARPC3B	ARPC3P1	ENSG00000226284	ENSG00000226284.1	chr20	49134480	49135012	ENST00000437218	HGNC_Symbol	processed_pseudogene	ARPC3B	ARPC3P1	1
ARSDP	ARSDP	ARSDP1	ENSG00000225117	ENSG00000225117.2	chrY	12354096	12387328	ENST00000443820	HGNC_Symbol	unprocessed_pseudogene	ARSDP	ARSDP1	1
ARSDY1	ARSDY1	ARSDP1	ENSG00000225117	ENSG00000225117.2	chrY	12354096	12387328	ENST00000443820	HGNC_Symbol	unprocessed_pseudogene	ARSDY1	ARSDP1	1
ARSEP	ARSEP	ARSLP1	ENSG00000224060	ENSG00000224060.4	chrY	12339813	12347487	ENST00000420443	HGNC_Symbol	transcribed_unprocessed_pseudogene	ARSEP	ARSLP1	1
ARSEP1	ARSEP1	ARSLP1	ENSG00000224060	ENSG00000224060.4	chrY	12339813	12347487	ENST00000420443	HGNC_Symbol	transcribed_unprocessed_pseudogene	ARSEP1	ARSLP1	1
ART1P	ART1P	ART2P	ENSG00000238048	ENSG00000238048.1	chr11	72519986	72521733	ENST00000415521	HGNC_Symbol	transcribed_unprocessed_pseudogene	ART1P	ART2P	1
ARTC2AP	ARTC2AP	ART2P	ENSG00000238048	ENSG00000238048.1	chr11	72519986	72521733	ENST00000415521	HGNC_Symbol	transcribed_unprocessed_pseudogene	ARTC2AP	ART2P	1
ASSP11	ASSP11	ASS1P11	ENSG00000225308	ENSG00000225308.2	chr7	21220213	21221428	ENST00000441309	HGNC_Symbol	processed_pseudogene	ASSP11	ASS1P11	-1
ATE1-AS1	ATE1-AS1	ATE1OSP	ENSG00000226864	ENSG00000226864.5	chr10	121948188	121952020	ENST00000636460	HGNC_Symbol	transcribed_unitary_pseudogene	ATE1-AS1	ATE1OSP	1
ATF4P	ATF4P	ATF4P1	ENSG00000213338	ENSG00000213338.3	chrX	154622428	154623500	ENST00000443279	HGNC_Symbol	processed_pseudogene	ATF4P	ATF4P1	-1
ATG3P	ATG3P	ATG3P1	ENSG00000224357	ENSG00000224357.1	chr20	39329014	39329924	ENST00000419507	HGNC_Symbol	processed_pseudogene	ATG3P	ATG3P1	-1
ATP5A1P1	ATP5A1P1	ATP5F1AP1	ENSG00000234861	ENSG00000234861.2	chr9	42410830	42412150	ENST00000454088	HGNC_Symbol	processed_pseudogene	ATP5A1P1	ATP5F1AP1	-1
ATP5A1P2	ATP5A1P2	ATP5F1AP2	ENSG00000227682	ENSG00000227682.3	chr2	155269633	155269887	ENST00000412323	HGNC_Symbol	transcribed_processed_pseudogene	ATP5A1P2	ATP5F1AP2	1
ATP5A1P3	ATP5A1P3	ATP5F1AP3	ENSG00000263232	ENSG00000263232.2	chr16	72005037	72006543	ENST00000573189	HGNC_Symbol	transcribed_processed_pseudogene	ATP5A1P3	ATP5F1AP3	-1
ATP5A1P4	ATP5A1P4	ATP5F1AP4	ENSG00000258877	ENSG00000258877.2	chr14	62604113	62605717	ENST00000556888	HGNC_Symbol	processed_pseudogene	ATP5A1P4	ATP5F1AP4	-1
ATP5A1P5	ATP5A1P5	ATP5F1AP1	ENSG00000234861	ENSG00000234861.2	chr9	42410830	42412150	ENST00000454088	HGNC_Symbol	processed_pseudogene	ATP5A1P5	ATP5F1AP1	-1
ATP5A1P6	ATP5A1P6	ATP5F1AP1	ENSG00000234861	ENSG00000234861.2	chr9	42410830	42412150	ENST00000454088	HGNC_Symbol	processed_pseudogene	ATP5A1P6	ATP5F1AP1	-1
ATP5A1P7	ATP5A1P7	ATP5F1AP7	ENSG00000241571	ENSG00000241571.2	chr9	62686912	62688190	ENST00000453978	HGNC_Symbol	processed_pseudogene	ATP5A1P7	ATP5F1AP7	1
ATP5A1P9	ATP5A1P9	ATP5F1AP7	ENSG00000241571	ENSG00000241571.2	chr9	62686912	62688190	ENST00000453978	HGNC_Symbol	processed_pseudogene	ATP5A1P9	ATP5F1AP7	1
ATP5AL1	ATP5AL1	ATP5F1AP1	ENSG00000234861	ENSG00000234861.2	chr9	42410830	42412150	ENST00000454088	HGNC_Symbol	processed_pseudogene	ATP5AL1	ATP5F1AP1	-1
ATP5AP1	ATP5AP1	ATP5F1AP1	ENSG00000234861	ENSG00000234861.2	chr9	42410830	42412150	ENST00000454088	HGNC_Symbol	processed_pseudogene	ATP5AP1	ATP5F1AP1	-1
ATP5AP2	ATP5AP2	ATP5F1AP2	ENSG00000227682	ENSG00000227682.3	chr2	155269633	155269887	ENST00000412323	HGNC_Symbol	transcribed_processed_pseudogene	ATP5AP2	ATP5F1AP2	1
ATP5AP3	ATP5AP3	ATP5F1AP3	ENSG00000263232	ENSG00000263232.2	chr16	72005037	72006543	ENST00000573189	HGNC_Symbol	transcribed_processed_pseudogene	ATP5AP3	ATP5F1AP3	-1
ATP5AP4	ATP5AP4	ATP5F1AP4	ENSG00000258877	ENSG00000258877.2	chr14	62604113	62605717	ENST00000556888	HGNC_Symbol	processed_pseudogene	ATP5AP4	ATP5F1AP4	-1
ATP5BL1	ATP5BL1	ATP5F1BP1	ENSG00000231635	ENSG00000231635.1	chr2	98206151	98207724	ENST00000411980	HGNC_Symbol	processed_pseudogene	ATP5BL1	ATP5F1BP1	1
ATP5BP1	ATP5BP1	ATP5F1BP1	ENSG00000231635	ENSG00000231635.1	chr2	98206151	98207724	ENST00000411980	HGNC_Symbol	processed_pseudogene	ATP5BP1	ATP5F1BP1	1
ATP5C1P1	ATP5C1P1	ATP5F1CP1	ENSG00000224004	ENSG00000224004.2	chr14	53991101	53991995	ENST00000441945	HGNC_Symbol	processed_pseudogene	ATP5C1P1	ATP5F1CP1	-1
ATP5C2	ATP5C2	ATP5F1CP1	ENSG00000224004	ENSG00000224004.2	chr14	53991101	53991995	ENST00000441945	HGNC_Symbol	processed_pseudogene	ATP5C2	ATP5F1CP1	-1
ATP5CL2	ATP5CL2	ATP5F1CP1	ENSG00000224004	ENSG00000224004.2	chr14	53991101	53991995	ENST00000441945	HGNC_Symbol	processed_pseudogene	ATP5CL2	ATP5F1CP1	-1
ATP5G1P1	ATP5G1P1	ATP5MC1P1	ENSG00000230157	ENSG00000230157.1	chr14	105536861	105537239	ENST00000448724	HGNC_Symbol	transcribed_processed_pseudogene	ATP5G1P1	ATP5MC1P1	-1
ATP5G1P2	ATP5G1P2	ATP5MC1P2	ENSG00000283016	ENSG00000283016.1	chr14	31320224	31320634	ENST00000635085	HGNC_Symbol	processed_pseudogene	ATP5G1P2	ATP5MC1P2	-1
ATP5G2P1	ATP5G2P1	ATP5MC2P1	ENSG00000225712	ENSG00000225712.1	chr1	209267798	209268223	ENST00000433580	HGNC_Symbol	processed_pseudogene	ATP5G2P1	ATP5MC2P1	-1
