named.index	unique.index	external_gene_name	ensembl_gene_id	ensembl_gene_id_version	chromosome_name	start_position	end_position	ensembl_transcript_id	external_gene_source	gene_biotype	external_synonym	hgnc_symbol
ABI1P1	ABI1P1	ABI1P1	ENSG00000271484	ENSG00000271484.1	chr14	55546674	55548123	ENST00000603375	HGNC Symbol	unprocessed_pseudogene	ABI1P	ABI1P1
ABITRAMP1	ABITRAMP1	ABITRAMP1	ENSG00000251106	ENSG00000251106.1	chr13	46270077	46270617	ENST00000510179	HGNC Symbol	processed_pseudogene	FAM206BP	ABITRAMP1
ABRAXAS1P1	ABRAXAS1P1	ABRAXAS1P1	ENSG00000213431	ENSG00000213431.4	chr3	100910975	100912175	ENST00000496877	HGNC Symbol	processed_pseudogene		ABRAXAS1P1
ABRAXAS1P2	ABRAXAS1P2	ABRAXAS1P2	ENSG00000253384	ENSG00000253384.1	chr8	18088569	18089687	ENST00000517431	HGNC Symbol	processed_pseudogene		ABRAXAS1P2
ABT1P1	ABT1P1	ABT1P1	ENSG00000250496	ENSG00000250496.2	chr4	99022311	99023131	ENST00000511060	HGNC Symbol	processed_pseudogene		ABT1P1
ACAA2P1	ACAA2P1	ACAA2P1	ENSG00000233585	ENSG00000233585.3	chrX	48775993	48776970	ENST00000419045	HGNC Symbol	transcribed_processed_pseudogene		ACAA2P1
ACCSLP1	ACCSLP1	ACCSLP1	ENSG00000230570	ENSG00000230570.1	chr6	7340854	7342056	ENST00000419672	HGNC Symbol	processed_pseudogene		ACCSLP1
ACE3P	ACE3P	ACE3P	ENSG00000224353	ENSG00000224353.2	chr17	63507056	63519806	ENST00000423435	HGNC Symbol	transcribed_unprocessed_pseudogene		ACE3P
ACER2P1	ACER2P1	ACER2P1	ENSG00000180105	ENSG00000180105.11	chr2	206410087	206410909	ENST00000420063	HGNC Symbol	processed_pseudogene		ACER2P1
ACKR4P1	ACKR4P1	ACKR4P1	ENSG00000225415	ENSG00000225415.2	chr6	138822747	138823799	ENST00000449542	HGNC Symbol	processed_pseudogene	CCRL1P	ACKR4P1
ACNATP	ACNATP	ACNATP	ENSG00000227411	ENSG00000227411.1	chr9	101334084	101339347	ENST00000412284	HGNC Symbol	transcribed_unitary_pseudogene	BAATP1	ACNATP
ACO2P1	ACO2P1	ACO2P1	ENSG00000235485	ENSG00000235485.1	chr22	34589085	34591278	ENST00000457251	HGNC Symbol	processed_pseudogene		ACO2P1
ACO2P2	ACO2P2	ACO2P2	ENSG00000235371	ENSG00000235371.1	chr1	236110061	236112370	ENST00000446607	HGNC Symbol	processed_pseudogene		ACO2P2
ACRP1	ACRP1	ACRP1	ENSG00000175509	ENSG00000175509.8	chr2	113667478	113668621	ENST00000419351	HGNC Symbol	transcribed_processed_pseudogene		ACRP1
ACSL3P1	ACSL3P1	ACSL3P1	ENSG00000244062	ENSG00000244062.1	chr3	133760300	133762363	ENST00000474389	HGNC Symbol	processed_pseudogene		ACSL3P1
ACSM5P1	ACSM5P1	ACSM5P1	ENSG00000260762	ENSG00000260762.1	chr16	20586550	20607107	ENST00000566754	HGNC Symbol	unprocessed_pseudogene		ACSM5P1
ACTBP1	ACTBP1	ACTBP1	ENSG00000229145	ENSG00000229145.1	chrX	46288016	46289128	ENST00000417985	HGNC Symbol	processed_pseudogene		ACTBP1
ACTBP11	ACTBP11	ACTBP11	ENSG00000188460	ENSG00000188460.4	chr1	223863726	223864851	ENST00000436287	HGNC Symbol	processed_pseudogene		ACTBP11
ACTBP12	ACTBP12	ACTBP12	ENSG00000233125	ENSG00000233125.3	chr1	92229018	92229435	ENST00000435871	HGNC Symbol	processed_pseudogene	ACTGP5	ACTBP12
ACTBP14	ACTBP14	ACTBP14	ENSG00000229001	ENSG00000229001.1	chr10	69022778	69023866	ENST00000411655	HGNC Symbol	processed_pseudogene		ACTBP14
ACTBP15	ACTBP15	ACTBP15	ENSG00000213857	ENSG00000213857.3	chr22	41074180	41075239	ENST00000423293	HGNC Symbol	processed_pseudogene		ACTBP15
ACTBP16	ACTBP16	ACTBP16	ENSG00000241473	ENSG00000241473.1	chr3	180820544	180821612	ENST00000420887	HGNC Symbol	processed_pseudogene		ACTBP16
ACTBP2	ACTBP2	ACTBP2	ENSG00000213763	ENSG00000213763.4	chr5	77784881	77786003	ENST00000515712	HGNC Symbol	processed_pseudogene		ACTBP2
ACTBP4	ACTBP4	ACTBP4	ENSG00000286676	ENSG00000286676.1	chr5	131659046	131660115	ENST00000660293	HGNC Symbol	processed_pseudogene		ACTBP4
ACTBP6	ACTBP6	ACTBP6	ENSG00000203413	ENSG00000203413.3	chr8	84948585	84949674	ENST00000520036	HGNC Symbol	processed_pseudogene		ACTBP6
ACTBP7	ACTBP7	ACTBP7	ENSG00000185607	ENSG00000185607.5	chr15	43989061	43990184	ENST00000418351	HGNC Symbol	processed_pseudogene		ACTBP7
ACTBP8	ACTBP8	ACTBP8	ENSG00000220267	ENSG00000220267.1	chr6	88275882	88276989	ENST00000403258	HGNC Symbol	processed_pseudogene	ACTBP2	ACTBP8
ACTBP9	ACTBP9	ACTBP9	ENSG00000266920	ENSG00000266920.1	chr18	62442028	62443126	ENST00000587663	HGNC Symbol	processed_pseudogene		ACTBP9
ACTE1P	ACTE1P	ACTE1P	ENSG00000172900	ENSG00000172900.13	chr11	71382601	71407772	ENST00000460880	HGNC Symbol	transcribed_unitary_pseudogene		ACTE1P
ACTG1P1	ACTG1P1	ACTG1P1	ENSG00000178631	ENSG00000178631.7	chr3	139493809	139494937	ENST00000415794	HGNC Symbol	transcribed_processed_pseudogene	ACT1GP1	ACTG1P1
ACTG1P10	ACTG1P10	ACTG1P10	ENSG00000231340	ENSG00000231340.1	chrX	53142832	53143913	ENST00000428275	HGNC Symbol	processed_pseudogene	ACTGP10	ACTG1P10
ACTG1P11	ACTG1P11	ACTG1P11	ENSG00000229465	ENSG00000229465.1	chrY	18147884	18149008	ENST00000425411	HGNC Symbol	processed_pseudogene		ACTG1P11
ACTG1P12	ACTG1P12	ACTG1P12	ENSG00000226642	ENSG00000226642.1	chr3	12070195	12071360	ENST00000423183	HGNC Symbol	processed_pseudogene		ACTG1P12
ACTG1P13	ACTG1P13	ACTG1P13	ENSG00000241305	ENSG00000241305.1	chr3	99215224	99216266	ENST00000486987	HGNC Symbol	processed_pseudogene		ACTG1P13
ACTG1P14	ACTG1P14	ACTG1P14	ENSG00000230581	ENSG00000230581.2	chr9	6834456	6835577	ENST00000446382	HGNC Symbol	processed_pseudogene		ACTG1P14
ACTG1P15	ACTG1P15	ACTG1P15	ENSG00000259904	ENSG00000259904.1	chr15	34373541	34374603	ENST00000570019	HGNC Symbol	processed_pseudogene		ACTG1P15
ACTG1P16	ACTG1P16	ACTG1P16	ENSG00000260298	ENSG00000260298.2	chr16	50058150	50059231	ENST00000564713	HGNC Symbol	transcribed_processed_pseudogene		ACTG1P16
ACTG1P17	ACTG1P17	ACTG1P17	ENSG00000259315	ENSG00000259315.2	chr15	82726307	82727425	ENST00000558391	HGNC Symbol	transcribed_processed_pseudogene		ACTG1P17
ACTG1P18	ACTG1P18	ACTG1P18	ENSG00000218475	ENSG00000218475.2	chr6	101430411	101431553	ENST00000401561	HGNC Symbol	processed_pseudogene		ACTG1P18
ACTG1P19	ACTG1P19	ACTG1P19	ENSG00000237999	ENSG00000237999.2	chr9	100731240	100732355	ENST00000418987	HGNC Symbol	processed_pseudogene		ACTG1P19
ACTG1P2	ACTG1P2	ACTG1P2	ENSG00000229129	ENSG00000229129.1	chrY	17757001	17758125	ENST00000415776	HGNC Symbol	processed_pseudogene	ACTGP2	ACTG1P2
ACTG1P20	ACTG1P20	ACTG1P20	ENSG00000241547	ENSG00000241547.1	chr1	27325329	27325796	ENST00000486001	HGNC Symbol	processed_pseudogene		ACTG1P20
ACTG1P21	ACTG1P21	ACTG1P21	ENSG00000232672	ENSG00000232672.1	chr1	77773865	77774864	ENST00000431536	HGNC Symbol	processed_pseudogene		ACTG1P21
ACTG1P22	ACTG1P22	ACTG1P22	ENSG00000271615	ENSG00000271615.3	chr2	57764954	57766052	ENST00000603793	HGNC Symbol	transcribed_processed_pseudogene		ACTG1P22
ACTG1P23	ACTG1P23	ACTG1P23	ENSG00000230362	ENSG00000230362.1	chr3	175977497	175978570	ENST00000437653	HGNC Symbol	processed_pseudogene		ACTG1P23
ACTG1P24	ACTG1P24	ACTG1P24	ENSG00000226359	ENSG00000226359.1	chr17	17242010	17242886	ENST00000423783	HGNC Symbol	processed_pseudogene	POTENP	ACTG1P24
ACTG1P25	ACTG1P25	ACTG1P25	ENSG00000234996	ENSG00000234996.5	chr1	202873294	202874326	ENST00000438944	HGNC Symbol	transcribed_processed_pseudogene	AGPG	ACTG1P25
ACTG1P3	ACTG1P3	ACTG1P3	ENSG00000215388	ENSG00000215388.3	chr20	1160584	1161697	ENST00000431775	HGNC Symbol	processed_pseudogene	ACTGP3	ACTG1P3
ACTG1P4	ACTG1P4	ACTG1P4	ENSG00000236085	ENSG00000236085.1	chr1	103569553	103570674	ENST00000425123	HGNC Symbol	processed_pseudogene	ACTGP4	ACTG1P4
ACTG1P9	ACTG1P9	ACTG1P9	ENSG00000229349	ENSG00000229349.2	chr6	46204729	46207386	ENST00000457622	HGNC Symbol	processed_pseudogene	ACTGP9	ACTG1P9
ACTL11P	ACTL11P	ACTL11P	ENSG00000234667	ENSG00000234667.2	chr3	49873347	49877305	ENST00000423971	HGNC Symbol	unitary_pseudogene	ACTBP13	ACTL11P
ACTN4P1	ACTN4P1	ACTN4P1	ENSG00000213493	ENSG00000213493.3	chr4	116598161	116599611	ENST00000514175	HGNC Symbol	processed_pseudogene		ACTN4P1
ACTN4P2	ACTN4P2	ACTN4P2	ENSG00000214141	ENSG00000214141.4	chr1	37776670	37779418	ENST00000473049	HGNC Symbol	processed_pseudogene		ACTN4P2
ACTP1	ACTP1	ACTP1	ENSG00000229890	ENSG00000229890.1	chr2	108099110	108099492	ENST00000440793	HGNC Symbol	processed_pseudogene		ACTP1
ACTR1AP1	ACTR1AP1	ACTR1AP1	ENSG00000233370	ENSG00000233370.1	chr2	110184054	110185179	ENST00000418944	HGNC Symbol	processed_pseudogene		ACTR1AP1
ACTR2P1	ACTR2P1	ACTR2P1	ENSG00000224334	ENSG00000224334.1	chr22	24686923	24688087	ENST00000409926	HGNC Symbol	processed_pseudogene		ACTR2P1
ACTR2P2	ACTR2P2	ACTR2P2	ENSG00000213985	ENSG00000213985.4	chr19	20257720	20259418	ENST00000521432	HGNC Symbol	transcribed_processed_pseudogene		ACTR2P2
ACTR3BP1	ACTR3BP1	ACTR3BP1	ENSG00000270242	ENSG00000270242.1	chrY	11395699	11397076	ENST00000605584	HGNC Symbol	processed_pseudogene		ACTR3BP1
ACTR3BP2	ACTR3BP2	ACTR3BP2	ENSG00000226481	ENSG00000226481.3	chr2	91940668	91942040	ENST00000413404	HGNC Symbol	processed_pseudogene	FKSG73	ACTR3BP2
ACTR3BP3	ACTR3BP3	ACTR3BP3	ENSG00000260327	ENSG00000260327.2	chr16	32379071	32380049	ENST00000565577	HGNC Symbol	processed_pseudogene		ACTR3BP3
ACTR3BP4	ACTR3BP4	ACTR3BP4	ENSG00000249283	ENSG00000249283.3	chr4	102961956	102963327	ENST00000503033	HGNC Symbol	processed_pseudogene		ACTR3BP4
ACTR3BP5	ACTR3BP5	ACTR3BP5	ENSG00000227264	ENSG00000227264.3	chr10	38696424	38697902	ENST00000448440	HGNC Symbol	processed_pseudogene		ACTR3BP5
ACTR3BP6	ACTR3BP6	ACTR3BP6	ENSG00000280263	ENSG00000280263.1	chr22	16486985	16488322	ENST00000623630	HGNC Symbol	processed_pseudogene		ACTR3BP6
ACTR3BP7	ACTR3BP7	ACTR3BP7	ENSG00000226444	ENSG00000226444.2	chr22	11124337	11125705	ENST00000422332	HGNC Symbol	processed_pseudogene		ACTR3BP7
ACTR3P2	ACTR3P2	ACTR3P2	ENSG00000232267	ENSG00000232267.1	chrX	68771322	68772578	ENST00000439585	HGNC Symbol	processed_pseudogene		ACTR3P2
ACTR3P3	ACTR3P3	ACTR3P3	ENSG00000242573	ENSG00000242573.1	chr3	101163094	101163986	ENST00000480448	HGNC Symbol	processed_pseudogene		ACTR3P3
ACTR6P1	ACTR6P1	ACTR6P1	ENSG00000248915	ENSG00000248915.2	chr4	106836498	106837601	ENST00000514311	HGNC Symbol	processed_pseudogene		ACTR6P1
ACTRT1P1	ACTRT1P1	ACTRT1P1	ENSG00000235239	ENSG00000235239.1	chrX	128127090	128128212	ENST00000428208	HGNC Symbol	processed_pseudogene		ACTRT1P1
ADAD1P1	ADAD1P1	ADAD1P1	ENSG00000270367	ENSG00000270367.1	chr3	39285985	39287920	ENST00000605787	HGNC Symbol	processed_pseudogene		ADAD1P1
ADAD1P2	ADAD1P2	ADAD1P2	ENSG00000267511	ENSG00000267511.1	chr18	50063795	50064440	ENST00000588476	HGNC Symbol	processed_pseudogene		ADAD1P2
ADAM1A	ADAM1A	ADAM1A	ENSG00000229186	ENSG00000229186.4	chr12	111899263	111901391	ENST00000424240	HGNC Symbol	unitary_pseudogene	ADAM1	ADAM1A
ADAM1B	ADAM1B	ADAM1B	ENSG00000226469	ENSG00000226469.1	chr12	111927018	111929017	ENST00000454683	HGNC Symbol	unitary_pseudogene		ADAM1B
ADAM20P1	ADAM20P1	ADAM20P1	ENSG00000259158	ENSG00000259158.5	chr14	70468881	70471206	ENST00000320746	HGNC Symbol	transcribed_unprocessed_pseudogene	C14ORF55	ADAM20P1
ADAM20P2	ADAM20P2	ADAM20P2	ENSG00000248574	ENSG00000248574.1	chr4	175574868	175576140	ENST00000515830	HGNC Symbol	processed_pseudogene		ADAM20P2
ADAM20P3	ADAM20P3	ADAM20P3	ENSG00000249162	ENSG00000249162.1	chr4	187746094	187748199	ENST00000508710	HGNC Symbol	processed_pseudogene		ADAM20P3
ADAM21P1	ADAM21P1	ADAM21P1	ENSG00000235812	ENSG00000235812.5	chr14	70245491	70247660	ENST00000529267	HGNC Symbol	transcribed_processed_pseudogene	ADAM21P	ADAM21P1
ADAM24P	ADAM24P	ADAM24P	ENSG00000214607	ENSG00000214607.2	chr8	17469518	17471618	ENST00000398655	HGNC Symbol	unprocessed_pseudogene		ADAM24P
ADAM3A	ADAM3A	ADAM3A	ENSG00000197475	ENSG00000197475.12	chr8	39455339	39522810	ENST00000461344	HGNC Symbol	transcribed_unitary_pseudogene	ADAM3	ADAM3A
ADAM3B	ADAM3B	ADAM3B	ENSG00000260089	ENSG00000260089.2	chr16	49517762	49518601	ENST00000569937	HGNC Symbol	processed_pseudogene	CYRN2	ADAM3B
ADAM5	ADAM5	ADAM5	ENSG00000196115	ENSG00000196115.14	chr8	39314591	39417378	ENST00000399789	HGNC Symbol	transcribed_unitary_pseudogene	ADAM5P	ADAM5
ADAM6	ADAM6	ADAM6	ENSG00000271968	ENSG00000271968.3	chr14	105970168	105971166	ENST00000616762	HGNC Symbol	transcribed_unprocessed_pseudogene	C14ORF96	ADAM6
ADAMTS7P1	ADAMTS7P1	ADAMTS7P1	ENSG00000274376	ENSG00000274376.5	chr15	82298553	82334609	ENST00000613213	HGNC Symbol	transcribed_unprocessed_pseudogene	ADAMTS7P2	ADAMTS7P1
ADAMTS7P3	ADAMTS7P3	ADAMTS7P3	ENSG00000261143	ENSG00000261143.2	chr15	77976042	77993057	ENST00000566116	HGNC Symbol	transcribed_unprocessed_pseudogene		ADAMTS7P3
ADAMTS7P4	ADAMTS7P4	ADAMTS7P4	ENSG00000218052	ENSG00000218052.8	chr15	85255369	85270892	ENST00000561209	HGNC Symbol	transcribed_unprocessed_pseudogene		ADAMTS7P4
ADAMTS7P5	ADAMTS7P5	ADAMTS7P5	ENSG00000274717	ENSG00000274717.1	chr22	42791814	42794313	ENST00000616842	HGNC Symbol	processed_pseudogene		ADAMTS7P5
ADCY10P1	ADCY10P1	ADCY10P1	ENSG00000161912	ENSG00000161912.19	chr6	41101022	41138727	ENST00000457653	HGNC Symbol	transcribed_unprocessed_pseudogene		ADCY10P1
ADGRA3P1	ADGRA3P1	ADGRA3P1	ENSG00000256616	ENSG00000256616.4	chr18	12075205	12076654	ENST00000590929	HGNC Symbol	transcribed_processed_pseudogene		ADGRA3P1
ADGRE4P	ADGRE4P	ADGRE4P	ENSG00000268758	ENSG00000268758.8	chr19	6954659	6990798	ENST00000597372	HGNC Symbol	transcribed_unprocessed_pseudogene	EMR4	ADGRE4P
ADGRF2P	ADGRF2P	ADGRF2P	ENSG00000164393	ENSG00000164393.11	chr6	47673420	47693719	ENST00000507065	HGNC Symbol	transcribed_unitary_pseudogene	ADGRF2	ADGRF2P
ADGRF5P1	ADGRF5P1	ADGRF5P1	ENSG00000227582	ENSG00000227582.3	chr9	62860873	62862007	ENST00000435875	HGNC Symbol	transcribed_processed_pseudogene	GPR116P1	ADGRF5P1
ADGRF5P2	ADGRF5P2	ADGRF5P2	ENSG00000204818	ENSG00000204818.4	chr9	42795392	42800672	ENST00000423199	HGNC Symbol	transcribed_unprocessed_pseudogene	GPR116P2	ADGRF5P2
ADH5P2	ADH5P2	ADH5P2	ENSG00000232676	ENSG00000232676.1	chr1	79521080	79522203	ENST00000425922	HGNC Symbol	processed_pseudogene		ADH5P2
ADH5P3	ADH5P3	ADH5P3	ENSG00000223694	ENSG00000223694.1	chr1	240170155	240171291	ENST00000433842	HGNC Symbol	processed_pseudogene		ADH5P3
ADH5P4	ADH5P4	ADH5P4	ENSG00000233859	ENSG00000233859.2	chr6	65836930	65838039	ENST00000433151	HGNC Symbol	processed_pseudogene	ADH5B	ADH5P4
ADH5P5	ADH5P5	ADH5P5	ENSG00000234865	ENSG00000234865.3	chr5	23980587	23980938	ENST00000507986	HGNC Symbol	transcribed_processed_pseudogene		ADH5P5
ADI1P1	ADI1P1	ADI1P1	ENSG00000235102	ENSG00000235102.1	chr20	41331123	41331660	ENST00000438914	HGNC Symbol	processed_pseudogene		ADI1P1
ADI1P2	ADI1P2	ADI1P2	ENSG00000250684	ENSG00000250684.4	chr8	102688317	102688906	ENST00000514945	HGNC Symbol	processed_pseudogene		ADI1P2
ADI1P3	ADI1P3	ADI1P3	ENSG00000258369	ENSG00000258369.1	chr12	47463087	47463621	ENST00000549509	HGNC Symbol	processed_pseudogene		ADI1P3
ADIPOR1P1	ADIPOR1P1	ADIPOR1P1	ENSG00000232497	ENSG00000232497.1	chr10	22162992	22165794	ENST00000435632	HGNC Symbol	processed_pseudogene		ADIPOR1P1
ADIPOR1P2	ADIPOR1P2	ADIPOR1P2	ENSG00000258805	ENSG00000258805.2	chr14	94631863	94634528	ENST00000554199	HGNC Symbol	processed_pseudogene		ADIPOR1P2
ADORA2BP1	ADORA2BP1	ADORA2BP1	ENSG00000236136	ENSG00000236136.1	chr1	209744373	209745214	ENST00000429195	HGNC Symbol	processed_pseudogene	ADORA2BP	ADORA2BP1
AFF4P1	AFF4P1	AFF4P1	ENSG00000249820	ENSG00000249820.1	chr3	133409955	133410843	ENST00000510575	HGNC Symbol	processed_pseudogene		AFF4P1
AFG3L1P	AFG3L1P	AFG3L1P	ENSG00000223959	ENSG00000223959.12	chr16	89972631	90000668	ENST00000557444	HGNC Symbol	transcribed_unitary_pseudogene	AFG3	AFG3L1P
AFG3L2P1	AFG3L2P1	AFG3L2P1	ENSG00000253606	ENSG00000253606.2	chr8	43270198	43271960	ENST00000521792	HGNC Symbol	processed_pseudogene	AFG3L2P	AFG3L2P1
AGAP10P	AGAP10P	AGAP10P	ENSG00000230869	ENSG00000230869.1	chr10	45678692	45700532	ENST00000454844	HGNC Symbol	transcribed_unprocessed_pseudogene	AGAP10	AGAP10P
AGAP11	AGAP11	AGAP11	ENSG00000261011	ENSG00000261011.1	chr10	87001636	87009905	ENST00000437689	HGNC Symbol	transcribed_unprocessed_pseudogene	KIAA1975	AGAP11
AGAP12P	AGAP12P	AGAP12P	ENSG00000265018	ENSG00000265018.7	chr10	48009873	48031599	ENST00000585227	HGNC Symbol	transcribed_unprocessed_pseudogene	BA164N7.2	AGAP12P
AGAP13P	AGAP13P	AGAP13P	ENSG00000243289	ENSG00000243289.2	chr10	46816516	46837947	ENST00000417888	HGNC Symbol	transcribed_unprocessed_pseudogene	BA548K23.1	AGAP13P
AGAP14P	AGAP14P	AGAP14P	ENSG00000279058	ENSG00000279058.2	chr10	46337224	46358714	ENST00000624701	HGNC Symbol	transcribed_unprocessed_pseudogene	AGAP14	AGAP14P
AGAP7P	AGAP7P	AGAP7P	ENSG00000264204	ENSG00000264204.2	chr10	46109621	46131358	ENST00000582299	HGNC Symbol	transcribed_unprocessed_pseudogene	AGAP7	AGAP7P
AGGF1P1	AGGF1P1	AGGF1P1	ENSG00000214273	ENSG00000214273.4	chr4	190041342	190043414	ENST00000509500	HGNC Symbol	processed_pseudogene		AGGF1P1
AGGF1P10	AGGF1P10	AGGF1P10	ENSG00000282968	ENSG00000282968.1	chr20	29430723	29432913	ENST00000635005	HGNC Symbol	processed_pseudogene		AGGF1P10
