"","external_gene_name","ensembl_gene_id","ensembl_gene_id_version","chromosome_name","start_position","end_position"
"159","KIR2DL2","ENSG00000277725","ENSG00000277725.5","19",54754632,54769000
"160","KIR2DL4","ENSG00000274945","ENSG00000274945.4","19",54848094,54859121
"162","KIR2DP1","ENSG00000274942","ENSG00000274942.1","19",54754928,54766523
"163","KIR3DL2","ENSG00000274722","ENSG00000274722.4","19",54836820,54853592
"164","KIR3DP1","ENSG00000278051","ENSG00000278051.1","19",54786397,54790252
"165","KIR3DL2","ENSG00000278850","ENSG00000278850.4","19",54849551,54866326
"166","KIR3DL1","ENSG00000273518","ENSG00000273518.5","19",54816451,54830756
"167","KIR2DS4","ENSG00000275351","ENSG00000275351.1","19",54832726,54848250
"168","KIR2DL1","ENSG00000274782","ENSG00000274782.1","19",54769765,54784000
"170","KIR2DL1","ENSG00000277833","ENSG00000277833.4","19",54769756,54784259
"173","Y_RNA","ENSG00000262710","ENSG00000262710.1","1",153802951,153803052
"174","Y_RNA","ENSG00000262469","ENSG00000262469.1","1",153743483,153743584
"175","CCDC92","ENSG00000275035","ENSG00000275035.2","12",123918723,123946006
"176","Metazoa_SRP","ENSG00000276295","ENSG00000276295.1","1",153721328,153721625
"177","Metazoa_SRP","ENSG00000275531","ENSG00000275531.1","1",153700659,153700956
"178","KIR3DP1","ENSG00000276035","ENSG00000276035.1","19",54786406,54790261
"179","LILRP1","ENSG00000276001","ENSG00000276001.1","19",54700593,54700905
"180","KIR2DS3","ENSG00000277193","ENSG00000277193.1","19",54830865,54845301
"181","KIR3DP1","ENSG00000277176","ENSG00000277176.4","19",54831023,54842954
"182","LILRP2","ENSG00000275289","ENSG00000275289.4","19",54707916,54713453
"183","KIR2DL5A","ENSG00000276392","ENSG00000276392.1","19",54819505,54829001
"184","KIR2DS3","ENSG00000277650","ENSG00000277650.1","19",54830903,54845777
"185","KIR2DL4","ENSG00000277964","ENSG00000277964.1","19",54803571,54814487
"186","KIR2DP1","ENSG00000274851","ENSG00000274851.1","19",54754976,54767325
"187","KIR3DL1","ENSG00000276329","ENSG00000276329.5","19",54861173,54875478
"188","KRT40","ENSG00000262845","ENSG00000262845.7","17",40977843,40987262
"189","KIR3DP1","ENSG00000276212","ENSG00000276212.4","19",54771219,54784641
"190","KIR2DL2","ENSG00000273661","ENSG00000273661.5","19",54754679,54769001
"191","KIR3DP1","ENSG00000273688","ENSG00000273688.1","19",54786274,54790272
"192","LILRP1","ENSG00000273881","ENSG00000273881.1","19",54700593,54700905
"193","KIR2DL3","ENSG00000274830","ENSG00000274830.5","19",54738514,54753065
"194","LILRP2","ENSG00000274826","ENSG00000274826.4","19",54707916,54713453
"195","LILRP1","ENSG00000274271","ENSG00000274271.1","19",54700593,54700905
"196","LILRP1","ENSG00000276099","ENSG00000276099.1","19",54698377,54700905
"198","LILRP1","ENSG00000277570","ENSG00000277570.1","19",54700593,54700905
"199","KIR2DL5A","ENSG00000274676","ENSG00000274676.1","19",54819459,54828923
"200","KIR2DL2","ENSG00000273578","ENSG00000273578.1","19",54754600,54768961
"202","KIR2DL3","ENSG00000278369","ENSG00000278369.1","19",54738530,54753070
"203","KIR2DL4","ENSG00000274955","ENSG00000274955.4","19",54803541,54814525
"204","KIR3DL2","ENSG00000276004","ENSG00000276004.4","19",54850300,54867064
"205","KIR2DL4","ENSG00000275699","ENSG00000275699.4","19",54803535,54814517
"206","KIR3DS1","ENSG00000276498","ENSG00000276498.5","19",54802804,54817417
"207","KRTAP1-1","ENSG00000262808","ENSG00000262808.2","17",41040684,41041586
"209","KIR2DL5B","ENSG00000274707","ENSG00000274707.5","19",54755098,54764695
"210","KIR2DL4","ENSG00000274193","ENSG00000274193.4","19",54789815,54800891
"211","KRTAP4-11","ENSG00000263229","ENSG00000263229.4","17",41117663,41118842
"213","KRTAP2-5P","ENSG00000262376","ENSG00000262376.1","17",41072178,41072573
"214","KRTAP1-3","ENSG00000262347","ENSG00000262347.2","17",41034011,41034982
"215","KRTAP4-16","ENSG00000262520","ENSG00000262520.1","17",41101921,41102628
"216","KIR2DL3","ENSG00000275008","ENSG00000275008.1","19",54738018,54752516
"217","KRT12","ENSG00000263243","ENSG00000263243.2","17",40861303,40867210
"219","KIR2DS3","ENSG00000275599","ENSG00000275599.1","19",54843950,54858409
"220","KIR2DL3","ENSG00000274402","ENSG00000274402.1","19",54738465,54752989
"221","KRTAP1-5","ENSG00000261862","ENSG00000261862.2","17",41026153,41027329
"222","KRT39","ENSG00000262164","ENSG00000262164.6","17",40958544,40967019
"223","LILRP2","ENSG00000276247","ENSG00000276247.4","19",54707916,54713453
"224","KIR3DS1","ENSG00000274283","ENSG00000274283.5","19",54815911,54830525
"225","KIR3DP1","ENSG00000275255","ENSG00000275255.4","19",54786292,54798222
"226","LILRP2","ENSG00000273528","ENSG00000273528.4","19",54707916,54713453
"227","KIR3DL3","ENSG00000276086","ENSG00000276086.1","19",54724481,54736671
"228","KIR2DS5","ENSG00000274243","ENSG00000274243.5","19",54782617,54797414
"229","NCR1","ENSG00000275521","ENSG00000275521.4","19",54906121,54910036
"230","KIR3DL1","ENSG00000275486","ENSG00000275486.5","19",54816441,54830746
"231","KIR2DL5B","ENSG00000278414","ENSG00000278414.5","19",54771198,54780682
"232","KIR3DL2","ENSG00000278474","ENSG00000278474.4","19",54880532,54897308
"233","KIR3DL3","ENSG00000273502","ENSG00000273502.4","19",54724478,54736594
"234","KRTAP3-4P","ENSG00000262616","ENSG00000262616.1","17",41004608,41004887
"235","KRTAP2-1","ENSG00000261852","ENSG00000261852.3","17",41046666,41047441
"236","KIR2DL3","ENSG00000276590","ENSG00000276590.5","19",54738496,54752881
"237","KIR3DL3","ENSG00000274480","ENSG00000274480.1","19",54724486,54736514
"238","KRTAP3-3","ENSG00000263101","ENSG00000263101.2","17",40993557,40994260
"239","KIR2DL1","ENSG00000275750","ENSG00000275750.1","19",54769705,54783961
"240","KIR3DL2","ENSG00000278710","ENSG00000278710.4","19",54850408,54867186
"241","KRTAP2-3","ENSG00000262862","ENSG00000262862.2","17",41059470,41060344
"242","KRTAP4-12","ENSG00000263236","ENSG00000263236.2","17",41123559,41124635
"243","KRTAP1-4","ENSG00000263242","ENSG00000263242.2","17",41029824,41030231
"245","KRTAP4-8","ENSG00000261968","ENSG00000261968.3","17",41097371,41098544
"246","KIR3DL3","ENSG00000274724","ENSG00000274724.1","19",54724448,54736134
"247","KIR2DS1","ENSG00000273603","ENSG00000273603.1","19",54847887,54862123
"248","KIR2DL5A","ENSG00000275596","ENSG00000275596.1","19",54819506,54828970
"250","KIR2DS2","ENSG00000276139","ENSG00000276139.4","19",54738560,54752721
"251","LILRP2","ENSG00000273922","ENSG00000273922.4","19",54707916,54713453
"252","LILRP2","ENSG00000274788","ENSG00000274788.4","19",54709037,54713341
"253","KIR3DL3","ENSG00000276806","ENSG00000276806.1","19",54724507,54736522
"254","LINC01839","ENSG00000281738","ENSG00000281738.1","3",184510148,184513434
"255","LINC02054","ENSG00000281250","ENSG00000281250.1","3",184426592,184444693
"256","KIR2DS2","ENSG00000275452","ENSG00000275452.2","19",54738501,54769226
"257","KIR3DS1","ENSG00000275608","ENSG00000275608.5","19",54802886,54817473
"258","KIR2DL3","ENSG00000276218","ENSG00000276218.5","19",54738484,54752990
"259","KIR2DL4","ENSG00000277362","ENSG00000277362.1","19",54803533,54814482
"260","KIR3DL2","ENSG00000278442","ENSG00000278442.4","19",54850442,54867200
"261","KIR3DL2","ENSG00000278758","ENSG00000278758.4","19",54864015,54880809
"262","KIR2DS2","ENSG00000275253","ENSG00000275253.1","19",54738498,54752702
"263","KIR3DL2","ENSG00000275626","ENSG00000275626.4","19",54835435,54852194
"264","KIR3DL1","ENSG00000274146","ENSG00000274146.5","19",54802891,54817199
"265","KIR3DP1","ENSG00000277742","ENSG00000277742.1","19",54786355,54790318
"266","LINC00254","ENSG00000282469","ENSG00000282469.1","16",1880310,1886269
"267","KIR2DS4","ENSG00000275938","ENSG00000275938.1","19",54832765,54848078
"268","HS3ST6","ENSG00000276333","ENSG00000276333.2","16",1913487,1920464
"269","LILRP2","ENSG00000277963","ENSG00000277963.4","19",54707916,54713453
"270","KIR2DP1","ENSG00000278339","ENSG00000278339.1","19",54755024,54767369
"271","KIR2DL3","ENSG00000277317","ENSG00000277317.5","19",54738506,54752764
"272","MEIOB","ENSG00000282650","ENSG00000282650.1","16",1874025,1886319
"274","LILRP1","ENSG00000278325","ENSG00000278325.1","19",54700593,54700905
"275","KIR3DL1","ENSG00000278079","ENSG00000278079.6","19",54816470,54830813
"276","KIR3DL3","ENSG00000276930","ENSG00000276930.1","19",54724479,54736536
"277","LINC02124","ENSG00000282069","ENSG00000282069.1","16",1891136,1892455
"278","KIR3DL3","ENSG00000274556","ENSG00000274556.1","19",54724447,54736132
"279","U6","ENSG00000277551","ENSG00000277551.1","19",54913656,54913762
"281","KIR2DL5B","ENSG00000275937","ENSG00000275937.1","19",54770973,54780252
"282","KIR2DS2","ENSG00000277885","ENSG00000277885.1","19",54738243,54752150
"283","KIR3DL2","ENSG00000275083","ENSG00000275083.4","19",54850406,54867200
"284","KIR2DL2","ENSG00000276011","ENSG00000276011.1","19",54754397,54768727
"285","KIR3DL3","ENSG00000277552","ENSG00000277552.1","19",54724203,54736221
"286","KIR2DP1","ENSG00000275815","ENSG00000275815.1","19",54754998,54767346
"287","KIR2DL3","ENSG00000278327","ENSG00000278327.5","19",54738499,54753027
"288","KIR2DS1","ENSG00000273517","ENSG00000273517.1","19",54847867,54861881
"289","FCAR","ENSG00000275136","ENSG00000275136.4","19",54874257,54890481
"290","KIR3DL3","ENSG00000277596","ENSG00000277596.1","19",54727609,54736462
"291","KIR3DL2","ENSG00000275262","ENSG00000275262.4","19",54850443,54867215
"293","KIR2DL3","ENSG00000273887","ENSG00000273887.1","19",54738479,54753050
"294","LILRP2","ENSG00000277271","ENSG00000277271.4","19",54707923,54712937
"295","KIR2DS5","ENSG00000274563","ENSG00000274563.1","19",54766539,54781397
"296","NCR1","ENSG00000276450","ENSG00000276450.1","19",54905329,54909244
"298","U6","ENSG00000276552","ENSG00000276552.1","19",54899032,54899138
"300","KIR2DS1","ENSG00000278304","ENSG00000278304.1","19",54860710,54875253
"302","FCAR","ENSG00000275970","ENSG00000275970.4","19",54873427,54889651
"303","KIR3DL1","ENSG00000275288","ENSG00000275288.6","19",54816438,54830737
"304","KRT18P40","ENSG00000277976","ENSG00000277976.1","19",20967473,20971556
"306","KIR2DP1","ENSG00000278329","ENSG00000278329.1","19",54754958,54767306
"307","KIR2DL1","ENSG00000273794","ENSG00000273794.4","19",54769825,54784337
"308","ZNF430","ENSG00000278780","ENSG00000278780.4","19",21027036,21043218
"310","KIR2DL3","ENSG00000274108","ENSG00000274108.5","19",54738481,54752986
"311","KIR2DL5A","ENSG00000276686","ENSG00000276686.1","19",54832558,54842109
"312","KIR2DL1","ENSG00000277356","ENSG00000277356.1","19",54769746,54783981
"313","SNTG2","ENSG00000281486","ENSG00000281486.1","2",1209102,1269668
"315","ZNF43","ENSG00000279566","ENSG00000279566.1","19",21814429,21818511
"316","KIR2DL4","ENSG00000278201","ENSG00000278201.4","19",54802913,54813989
"317","KIR2DP1","ENSG00000274912","ENSG00000274912.1","19",54754924,54767305
"319","KIR2DS4","ENSG00000276395","ENSG00000276395.1","19",54832694,54847510
"320","ZNF100","ENSG00000274746","ENSG00000274746.4","19",21732245,21777028
"321","IMPDH1P5","ENSG00000282534","ENSG00000282534.1","10",77780337,77781876
"322","ADI1","ENSG00000280830","ENSG00000280830.1","2",3498728,3502360
"323","DLG5","ENSG00000274429","ENSG00000274429.2","10",77790791,77926526
"325","KIR2DL1","ENSG00000276310","ENSG00000276310.1","19",54769748,54784069
"326","TRAPPC12","ENSG00000274891","ENSG00000274891.3","2",3401777,3486461
"327","NCR1","ENSG00000278025","ENSG00000278025.4","19",54977550,54981465
"330","PPIAL4F","ENSG00000275974","ENSG00000275974.2","1",144592865,144593524
"332","KIR3DL3","ENSG00000274786","ENSG00000274786.1","19",54724451,54736098
"334","CCNYL6","ENSG00000279280","ENSG00000279280.1","19",21719001,21719670
"335","U6","ENSG00000274708","ENSG00000274708.1","19",54882533,54882639
"337","U1","ENSG00000274574","ENSG00000274574.1","1",144560668,144560831
"339","RNVU1-26","ENSG00000273990","ENSG00000273990.1","1",144523860,144524021
"340","RNVU1-2A","ENSG00000273757","ENSG00000273757.1","1",144551779,144551943
"341","BRI3BPP1","ENSG00000279112","ENSG00000279112.1","19",21760226,21762917
"342","ZNF85","ENSG00000278091","ENSG00000278091.4","19",20929638,20957113
"343","VN1R84P","ENSG00000280218","ENSG00000280218.1","19",21729280,21729514
"344","MTDHP4","ENSG00000280066","ENSG00000280066.1","19",21687036,21687706
"347","KIR3DS1","ENSG00000274465","ENSG00000274465.5","19",54860636,54875223
"348","KIR3DP1","ENSG00000274610","ENSG00000274610.1","19",54771258,54784662
"349","KIR2DL4","ENSG00000277750","ENSG00000277750.1","19",54803572,54814476
"350","KIR2DL4","ENSG00000278271","ENSG00000278271.1","19",54789822,54800920
"351","KIR2DL1","ENSG00000278755","ENSG00000278755.1","19",54769814,54784135
"352","PIWIL1","ENSG00000275051","ENSG00000275051.2","12",130337887,130372618
"353","FCAR","ENSG00000275269","ENSG00000275269.4","19",54860626,54876850
"355","U6","ENSG00000278190","ENSG00000278190.1","19",54868050,54868156
"356","KIR2DL4","ENSG00000273498","ENSG00000273498.4","19",54789862,54800938
"358","LILRP1","ENSG00000277240","ENSG00000277240.1","19",54700593,54700905
"359","KIR2DP1","ENSG00000273955","ENSG00000273955.1","19",54754987,54767361
"360","KIR2DS4","ENSG00000274947","ENSG00000274947.1","19",54832654,54848283
"361","RNU6-222P","ENSG00000277153","ENSG00000277153.1","19",54868939,54869045
"362","SNTG2","ENSG00000281020","ENSG00000281020.2","2",1316265,1365970
"363","U6","ENSG00000275021","ENSG00000275021.1","19",54868796,54868902
"364","LILRP2","ENSG00000276243","ENSG00000276243.4","19",54707916,54713453
"370","U6","ENSG00000275168","ENSG00000275168.1","19",54868924,54869030
"374","BNIP3P24","ENSG00000280428","ENSG00000280428.1","19",20784596,20785152
"376","ZNF66","ENSG00000275050","ENSG00000275050.4","19",20776304,20807420
"386","LILRP1","ENSG00000274545","ENSG00000274545.1","19",54700593,54700905
"387","KIR2DP1","ENSG00000273522","ENSG00000273522.1","19",54755023,54767371
"389","KIR3DL3","ENSG00000278490","ENSG00000278490.1","19",54724454,54736547
"390","KIR3DL2","ENSG00000278726","ENSG00000278726.4","19",54850439,54867235
"391","TPO","ENSG00000277603","ENSG00000277603.4","2",1372594,1540021
"392","KRTAP9-9","ENSG00000267728","ENSG00000267728.3","17",41255319,41256311
"393","KRTAP9-2","ENSG00000263090","ENSG00000263090.5","17",41226648,41227652
"395","KIR3DP1","ENSG00000277560","ENSG00000277560.1","19",54786463,54790318
"396","KIR2DS4","ENSG00000276465","ENSG00000276465.1","19",54832686,54848263
"397","KIR3DL2","ENSG00000275416","ENSG00000275416.4","19",54850500,54867258
"400","KIR3DL3","ENSG00000277392","ENSG00000277392.1","19",54724479,54736494
"401","U6","ENSG00000278230","ENSG00000278230.1","19",54895641,54895747
"402","LILRP2","ENSG00000276512","ENSG00000276512.4","19",54707913,54713335
"403","KRTAP9-4","ENSG00000262512","ENSG00000262512.2","17",41249619,41250585
"404","KRTAP9-3","ENSG00000262749","ENSG00000262749.2","17",41232462,41233453
"405","KCNQ2-AS1","ENSG00000281651","ENSG00000281651.1","20",63449173,63450451
"406","KRTAP9-10P","ENSG00000263103","ENSG00000263103.1","17",41270282,41270488
"407","KIR3DL3","ENSG00000274254","ENSG00000274254.1","19",54724478,54736626
"408","KCNQ2","ENSG00000281151","ENSG00000281151.2","20",63414903,63466150
"411","KRTAP29-1","ENSG00000262218","ENSG00000262218.1","17",41291504,41292529
"413","KIR3DL2","ENSG00000276882","ENSG00000276882.4","19",54921821,54938615
"414","KRTAP9-2","ENSG00000262573","ENSG00000262573.2","17",41226627,41227631
"415","KRTAP9-10P","ENSG00000263115","ENSG00000263115.1","17",41269234,41269440
"416","KRTAP9-4","ENSG00000262896","ENSG00000262896.2","17",41238317,41239283
"417","KRTAP9-6","ENSG00000263263","ENSG00000263263.1","17",41253969,41255271
"419","KIR3DL2","ENSG00000275629","ENSG00000275629.4","19",54849620,54866390
"420","KRTAP9-7","ENSG00000262221","ENSG00000262221.1","17",41264289,41265327
"421","KIR2DL4","ENSG00000277850","ENSG00000277850.4","19",54803411,54814521
"422","KIR2DL4","ENSG00000277076","ENSG00000277076.4","19",54789863,54800933
"423","KRTAP29-1","ENSG00000262542","ENSG00000262542.1","17",41290456,41291481
"424","KRTAP9-12P","ENSG00000262214","ENSG00000262214.1","17",41212710,41213241
"425","KRTAP9-11P","ENSG00000262946","ENSG00000262946.1","17",41259941,41260465
"426","KRTAP9-9","ENSG00000262594","ENSG00000262594.4","17",41244014,41244994
"430","KIR2DL2","ENSG00000278692","ENSG00000278692.1","19",54754729,54769262
"432","FTCD","ENSG00000281775","ENSG00000281775.2","21",46142109,46155567
"433","KIR2DS2","ENSG00000275735","ENSG00000275735.1","19",54738547,54752855
"434","LILRP1","ENSG00000273546","ENSG00000273546.1","19",54700593,54700905
"436","U6","ENSG00000275782","ENSG00000275782.1","19",54882769,54882875
"437","KIR3DL1","ENSG00000278368","ENSG00000278368.5","19",54816432,54830744
"438","ANKRD18DP","ENSG00000281617","ENSG00000281617.2","3",198053522,198080720
"441","KIR2DS4","ENSG00000275731","ENSG00000275731.1","19",54819083,54833565
"442","MREGP1","ENSG00000282329","ENSG00000282329.1","12",31256634,31256718
"443","U6","ENSG00000273929","ENSG00000273929.1","19",54868959,54869065
"450","RNU6-821P","ENSG00000274706","ENSG00000274706.1","3",198071311,198071417
"451","U6","ENSG00000278747","ENSG00000278747.1","3",198193139,198193242
"453","SINHCAF","ENSG00000276371","ENSG00000276371.2","12",31282857,31329331
"457","KIR2DL2","ENSG00000275914","ENSG00000275914.5","19",54754693,54769187
"458","SUDS3P1","ENSG00000281351","ENSG00000281351.1","5",177971313,177972279
"462","DLGAP2","ENSG00000282103","ENSG00000282103.1","8",737651,824587
"464","FTCD-AS1","ENSG00000280541","ENSG00000280541.1","21",46151614,46152647
"467","KIR2DL3","ENSG00000276459","ENSG00000276459.5","19",54738512,54753028
"468","LSS","ENSG00000281289","ENSG00000281289.2","21",46190452,46221883
"470","SBNO2","ENSG00000278788","ENSG00000278788.4","19",1107635,1156979
"472","KIR2DL1","ENSG00000278207","ENSG00000278207.1","19",54814235,54828734
"473","PROP1","ENSG00000274382","ENSG00000274382.2","5",177992545,177996421
"474","CTDP1","ENSG00000282752","ENSG00000282752.1","18",79685555,79723770
"476","RPS17","ENSG00000278229","ENSG00000278229.2","15",82615842,82619653
"477","KIR2DL1","ENSG00000278248","ENSG00000278248.1","19",54769801,54784302
"479","ERICH1","ENSG00000282665","ENSG00000282665.1","8",731140,738106
"484","PRB1","ENSG00000275517","ENSG00000275517.4","12",11351822,11356402
"485","KIR2DL5A","ENSG00000278116","ENSG00000278116.1","19",54877311,54886807
"486","NCR1","ENSG00000275637","ENSG00000275637.4","19",54906192,54910107
"488","KIR2DS1","ENSG00000276327","ENSG00000276327.1","19",54905478,54919948
"489","U6","ENSG00000274597","ENSG00000274597.1","19",54940339,54940445
"490","GARRE1","ENSG00000279389","ENSG00000279389.3","19",34261710,34308123
"492","KIR2DL4","ENSG00000275848","ENSG00000275848.1","19",54848033,54858928
